z,xv,yv,zv,label
-0.0046886,-3.0417e-05,-0.00095394,0.00019524,1
-0.0046756,-1.4227e-05,-4.264e-06,-1.4557e-06,1
-0.0047062,-0.00068161,0.00035189,-0.0003672,1
-0.0046922,-0.00015786,-0.00090146,0.00016782,1
-0.0046929,-0.00023446,0.00056817,-7.2164e-06,1
-0.0046637,0.00045083,-0.00041213,0.00034907,1
-0.0047193,-0.00071412,-0.00015739,-0.00066718,1
-0.0046978,-0.000495,-0.00042873,0.00025797,1
-0.0047248,-0.00073806,0.00049413,-0.00032301,1
-0.0047469,0.0013668,0.0001215,-0.00026575,1
-0.0047391,0.00031481,-1.2757e-05,9.3154e-05,1
-0.0046868,0.00017175,0.0010469,0.00063063,1
-0.0046802,-0.0011419,-0.00048738,7.8237e-05,1
-0.0046519,-9.3071e-05,0.00039985,0.00034165,1
-0.0046398,0.0016314,-0.00068251,0.00014409,1
-0.0046587,-0.00032621,0.00051344,-0.00022764,1
-0.0046605,0.00034887,-0.0014529,-2.1126e-05,1
-0.0046799,-0.0015011,-0.00063449,-0.0002339,1
-0.0047329,-1.3129e-05,0.00073162,-0.00063342,1
-0.0047325,0.00059672,0.00048933,4.8493e-06,1
-0.004694,-0.00051455,-0.00028502,0.00046031,1
-0.004683,0.001165,0.0013177,0.00013209,1
-0.0046165,0.00024112,0.00026582,0.00079474,1
-0.0046195,-2.3392e-05,2.142e-05,-3.5887e-05,1
-0.0046242,4.7953e-05,0.00034279,-5.6551e-05,1
-0.0046488,-0.00084786,-0.0011199,-0.00029414,1
-0.0047204,0.00086756,0.001364,-0.00085783,1
-0.0047314,-0.00024623,-0.000464,-0.0001335,1
-0.0047494,6.7125e-05,-0.00059919,-0.00021589,1
-0.0047336,-0.00011706,-0.00047676,0.0001896,1
-0.0046681,0.00094178,0.00061277,0.00078776,1
-0.0046384,-6.7842e-05,4.8188e-05,0.00035569,1
-0.0045942,-8.3664e-05,0.00051657,0.00053384,1
-0.004603,-0.0011051,-0.00056118,-0.00010434,1
-0.0046265,0.0001114,0.00075468,-0.00027668,1
-0.0046504,0.0017076,-0.0001074,-0.00029212,1
-0.0046633,-0.00083328,8.533e-07,-0.00015486,1
-0.0046567,-0.001248,-0.00089928,7.9369e-05,1
-0.0046522,-0.00020417,0.00010309,5.3859e-05,1
-0.0046442,0.0019944,0.00018585,9.6468e-05,1
-0.0046313,-0.00069586,0.00036982,0.00015402,1
-0.0046247,-0.00023516,-0.00081007,7.8729e-05,1
-0.0046139,-0.00019098,-0.00025334,0.00013019,1
-0.0046246,-0.001199,0.00025349,-0.00012838,1
-0.0046364,0.0014744,0.0015173,-0.00014149,1
-0.0046458,-0.0011445,-0.0012281,-0.00011266,1
-0.0046852,0.00021493,0.00013788,-0.00047039,1
-0.0046965,-0.00094118,-0.001746,-0.00013598,1
-0.0047274,0.0016284,0.0012113,-0.00037631,1
-0.0046908,-0.00070559,-0.00061329,0.00043842,1
-0.0046899,0.0018854,0.00045784,1.001e-05,1
-0.004709,-0.0023264,-0.00030927,-0.00022802,1
-0.0046962,0.00090475,0.0014179,0.00015352,1
